location,basis,delivery_start,delivery_end,symbol,cash_price,commodity
CGB HENNEPIN,-2,6/1/2026,6/30/2026,Jul-26,$4.13 ,Corn
CGB HENNEPIN,4,7/1/2026,7/31/2026,Jul-26,$4.19 ,Corn
CGB HENNEPIN,-2,8/1/2026,8/31/2026,Sep-26,$4.23 ,Corn
CGB HENNEPIN,-6,9/1/2026,9/30/2026,Sep-26,$4.19 ,Corn
CGB HENNEPIN,-25,10/1/2026,10/31/2026,Dec-26,$4.18 ,Corn
CGB HENNEPIN,-12,11/1/2026,11/30/2026,Dec-26,$4.31 ,Corn
CGB HENNEPIN,-2,12/1/2026,12/31/2026,Dec-26,$4.41 ,Corn
CGB HENNEPIN,-13,1/1/2027,1/31/2027,Mar-27,$4.45 ,Corn
CGB HENNEPIN,-10,2/1/2027,2/28/2027,Mar-27,$4.48 ,Corn
CGB HENNEPIN,-14,6/1/2026,6/30/2026,Jul-26,$11.14 ,Beans
CGB HENNEPIN,-5,7/1/2026,7/31/2026,Jul-26,$11.23 ,Beans
CGB HENNEPIN,-8,8/1/2026,8/31/2026,Aug-26,$11.29 ,Beans
CGB HENNEPIN,-35,9/1/2026,9/30/2026,Nov-26,$11.22 ,Beans
CGB HENNEPIN,-35,10/1/2026,10/31/2026,Nov-26,$11.22 ,Beans
CGB HENNEPIN,-15,11/1/2026,11/30/2026,Nov-26,$11.42 ,Beans
CGB HENNEPIN,-17,12/1/2026,12/31/2026,Jan-27,$11.54 ,Beans
CGB HENNEPIN,-10,1/1/2027,1/31/2027,Jan-27,$11.61 ,Beans
CGB HENNEPIN,-17,2/1/2027,2/28/2027,Mar-27,$11.59 ,Beans
ADM Havana,3,6/1/2026,6/30/2026,26-Jun,$4.18 ,Corn
ADM Havana,12,7/1/2026,7/15/2026,FH Jul 26,$4.27 ,Corn
ADM Havana,12,7/16/2026,7/31/2026,LH Jul 26,$4.27 ,Corn
ADM Havana,6,8/1/2026,8/15/2026,FH Aug 26,$4.30 ,Corn
ADM Havana,6,8/16/2026,8/31/2026,LH Aug 26,$4.30 ,Corn
