location,basis,delivery_start,delivery_end,symbol,cash_price,commodity
CGB HENNEPIN,-2,06/01/2026,06/30/2026,Jul 2026,$4.1400,Corn
CGB HENNEPIN,3,07/01/2026,07/31/2026,Jul 2026,$4.1900,Corn
CGB HENNEPIN,-2,08/01/2026,08/31/2026,Sep 2026,$4.2200,Corn
CGB HENNEPIN,-6,09/01/2026,09/30/2026,Sep 2026,$4.1800,Corn
CGB HENNEPIN,-25,10/01/2026,10/31/2026,Dec 2026,$4.1800,Corn
CGB HENNEPIN,-12,11/01/2026,11/30/2026,Dec 2026,$4.3100,Corn
CGB HENNEPIN,-2,12/01/2026,12/31/2026,Dec 2026,$4.4100,Corn
CGB HENNEPIN,-10,01/01/2027,01/31/2027,Mar 2027,$4.4700,Corn
CGB HENNEPIN,-7,02/01/2027,02/28/2027,Mar 2027,$4.5000,Corn
CGB HENNEPIN,-5,03/01/2027,03/31/2027,Mar 2027,$4.5200,Corn
CGB HENNEPIN,-10,04/01/2027,04/30/2027,May 2027,$4.5600,Corn
CGB HENNEPIN,-5,05/01/2027,05/31/2027,May 2027,$4.6100,Corn
CGB HENNEPIN,-6,07/01/2027,07/31/2027,Jul 2027,$4.6600,Corn
CGB HENNEPIN,-35,10/01/2027,10/31/2027,Dec 2027,$4.3700,Corn
CGB HENNEPIN,-15,12/01/2027,12/31/2027,Dec 2027,$4.5700,Corn
CGB HENNEPIN,-15,06/01/2026,06/30/2026,Jul 2026,$11.0800,Beans
CGB HENNEPIN,-8,07/01/2026,07/31/2026,Jul 2026,$11.1500,Beans
CGB HENNEPIN,-10,08/01/2026,08/31/2026,Aug 2026,$11.1900,Beans
CGB HENNEPIN,-35,09/01/2026,09/30/2026,Nov 2026,$11.0800,Beans
CGB HENNEPIN,-35,10/01/2026,10/31/2026,Nov 2026,$11.0800,Beans
CGB HENNEPIN,-15,11/01/2026,11/30/2026,Nov 2026,$11.2800,Beans
CGB HENNEPIN,-16,12/01/2026,12/31/2026,Jan 2027,$11.4000,Beans
